hpclab_pi_algA    	0.3000	8	udelRun2A         	0.1000	7	0.2000
hpclab_pi_algA    	0.3000	8	udelRun1A         	0.0000	25	0.3000
hpclab_pi_algA    	0.3000	8	umd_hcil_run01    	0.3000	0	0.0000
hpclab_pi_algA    	0.3000	8	prnaTaskA3        	0.3000	1	0.0000
hpclab_pi_algA    	0.3000	8	prnaTaskA2        	0.3000	1	0.0000
hpclab_pi_algA    	0.3000	8	prnaTaskA1        	0.3000	3	0.0000
hpclab_pi_algA    	0.3000	8	umd_hcil_run02    	0.2000	3	0.1000
hpclab_pi_algA    	0.3000	8	udelRun3A         	0.0500	30	0.2500
UWaterlooATEK     	0.2000	5	hpclab_pi_algA    	0.3000	8	-0.1000
UWaterlooATEK     	0.2000	5	UWaterlooATNDEK   	0.2000	5	0.0000
UWaterlooATEK     	0.2000	5	udelRun2A         	0.1000	7	0.1000
UWaterlooATEK     	0.2000	5	udelRun1A         	0.0000	25	0.2000
UWaterlooATEK     	0.2000	5	umd_hcil_run01    	0.3000	0	-0.1000
UWaterlooATEK     	0.2000	5	prnaTaskA3        	0.3000	1	-0.1000
UWaterlooATEK     	0.2000	5	prnaTaskA2        	0.3000	1	-0.1000
UWaterlooATEK     	0.2000	5	prnaTaskA1        	0.3000	3	-0.1000
UWaterlooATEK     	0.2000	5	umd_hcil_run02    	0.2000	3	0.0000
UWaterlooATEK     	0.2000	5	udelRun3A         	0.0500	30	0.1500
UWaterlooATNDEK   	0.2000	5	hpclab_pi_algA    	0.3000	8	-0.1000
UWaterlooATNDEK   	0.2000	5	udelRun2A         	0.1000	7	0.1000
UWaterlooATNDEK   	0.2000	5	udelRun1A         	0.0000	25	0.2000
UWaterlooATNDEK   	0.2000	5	umd_hcil_run01    	0.3000	0	-0.1000
UWaterlooATNDEK   	0.2000	5	prnaTaskA3        	0.3000	1	-0.1000
UWaterlooATNDEK   	0.2000	5	prnaTaskA2        	0.3000	1	-0.1000
UWaterlooATNDEK   	0.2000	5	prnaTaskA1        	0.3000	3	-0.1000
UWaterlooATNDEK   	0.2000	5	umd_hcil_run02    	0.2000	3	0.0000
UWaterlooATNDEK   	0.2000	5	udelRun3A         	0.0500	30	0.1500
udelRun2A         	0.1000	7	umd_hcil_run01    	0.3000	0	-0.2000
udelRun2A         	0.1000	7	umd_hcil_run02    	0.2000	3	-0.1000
udelRun2A         	0.1000	7	udelRun3A         	0.0500	30	0.0500
udelRun1A         	0.0000	25	udelRun2A         	0.1000	7	-0.1000
udelRun1A         	0.0000	25	umd_hcil_run01    	0.3000	0	-0.3000
udelRun1A         	0.0000	25	umd_hcil_run02    	0.2000	3	-0.2000
udelRun1A         	0.0000	25	udelRun3A         	0.0500	30	-0.0500
MPII_HYBRID_PW    	0.0139	38	hpclab_pi_algA    	0.3000	8	-0.2861
MPII_HYBRID_PW    	0.0139	38	UWaterlooATEK     	0.2000	5	-0.1861
MPII_HYBRID_PW    	0.0139	38	UWaterlooATNDEK   	0.2000	5	-0.1861
MPII_HYBRID_PW    	0.0139	38	udelRun2A         	0.1000	7	-0.0861
MPII_HYBRID_PW    	0.0139	38	udelRun1A         	0.0000	25	0.0139
MPII_HYBRID_PW    	0.0139	38	umd_hcil_run01    	0.3000	0	-0.2861
MPII_HYBRID_PW    	0.0139	38	prnaTaskA3        	0.3000	1	-0.2861
MPII_HYBRID_PW    	0.0139	38	prnaTaskA2        	0.3000	1	-0.2861
MPII_HYBRID_PW    	0.0139	38	prnaTaskA1        	0.3000	3	-0.2861
MPII_HYBRID_PW    	0.0139	38	SNACSA            	0.0000	100	0.0139
MPII_HYBRID_PW    	0.0139	38	PKUICSTRunA3      	0.0000	82	0.0139
MPII_HYBRID_PW    	0.0139	38	PKUICSTRunA2      	0.1000	12	-0.0861
MPII_HYBRID_PW    	0.0139	38	PKUICSTRunA1      	0.1000	64	-0.0861
MPII_HYBRID_PW    	0.0139	38	SNACS_LA          	0.3000	0	-0.2861
MPII_HYBRID_PW    	0.0139	38	UWaterlooATDK     	0.2000	5	-0.1861
MPII_HYBRID_PW    	0.0139	38	QUDynExp          	0.0000	39	0.0139
MPII_HYBRID_PW    	0.0139	38	QUDyn             	0.0000	49	0.0139
MPII_HYBRID_PW    	0.0139	38	UWCMBP1           	0.2000	6	-0.1861
MPII_HYBRID_PW    	0.0139	38	UWCMBP2           	0.0000	19	0.0139
MPII_HYBRID_PW    	0.0139	38	QUBaseline        	0.0000	75	0.0139
MPII_HYBRID_PW    	0.0139	38	umd_hcil_run02    	0.2000	3	-0.1861
MPII_HYBRID_PW    	0.0139	38	MPII_LUC_SORT     	0.0089	95	0.0050
MPII_HYBRID_PW    	0.0139	38	udelRun3A         	0.0500	30	-0.0361
umd_hcil_run01    	0.3000	0	umd_hcil_run02    	0.2000	3	0.1000
ECNURUNA1         	0.3000	0	hpclab_pi_algA    	0.3000	8	0.0000
ECNURUNA1         	0.3000	0	UWaterlooATEK     	0.2000	5	0.1000
ECNURUNA1         	0.3000	0	UWaterlooATNDEK   	0.2000	5	0.1000
ECNURUNA1         	0.3000	0	udelRun2A         	0.1000	7	0.2000
ECNURUNA1         	0.3000	0	udelRun1A         	0.0000	25	0.3000
ECNURUNA1         	0.3000	0	MPII_HYBRID_PW    	0.0139	38	0.2861
ECNURUNA1         	0.3000	0	umd_hcil_run01    	0.3000	0	0.0000
ECNURUNA1         	0.3000	0	ECNURUNA2         	0.3000	0	0.0000
ECNURUNA1         	0.3000	0	ECNURUNA3         	0.3000	0	0.0000
ECNURUNA1         	0.3000	0	prnaTaskA3        	0.3000	1	0.0000
ECNURUNA1         	0.3000	0	prnaTaskA2        	0.3000	1	0.0000
ECNURUNA1         	0.3000	0	prnaTaskA1        	0.3000	3	0.0000
ECNURUNA1         	0.3000	0	SNACSA            	0.0000	100	0.3000
ECNURUNA1         	0.3000	0	PKUICSTRunA3      	0.0000	82	0.3000
ECNURUNA1         	0.3000	0	PKUICSTRunA2      	0.1000	12	0.2000
ECNURUNA1         	0.3000	0	PKUICSTRunA1      	0.1000	64	0.2000
ECNURUNA1         	0.3000	0	MPII_COMB_SORT    	0.0138	99	0.2862
ECNURUNA1         	0.3000	0	SNACS_LA          	0.3000	0	0.0000
ECNURUNA1         	0.3000	0	UWaterlooATDK     	0.2000	5	0.1000
ECNURUNA1         	0.3000	0	QUDynExp          	0.0000	39	0.3000
ECNURUNA1         	0.3000	0	IRIT-KLTFIDF      	0.3000	0	0.0000
ECNURUNA1         	0.3000	0	IritSigSDA        	0.0050	91	0.2950
ECNURUNA1         	0.3000	0	IRIT-RTNotif.33   	0.0115	99	0.2885
ECNURUNA1         	0.3000	0	QUDyn             	0.0000	49	0.3000
ECNURUNA1         	0.3000	0	UWCMBP1           	0.2000	6	0.1000
ECNURUNA1         	0.3000	0	UWCMBP2           	0.0000	19	0.3000
ECNURUNA1         	0.3000	0	QUBaseline        	0.0000	75	0.3000
ECNURUNA1         	0.3000	0	umd_hcil_run02    	0.2000	3	0.1000
ECNURUNA1         	0.3000	0	MPII_LUC_SORT     	0.0089	95	0.2911
ECNURUNA1         	0.3000	0	udelRun3A         	0.0500	30	0.2500
ECNURUNA2         	0.3000	0	hpclab_pi_algA    	0.3000	8	0.0000
ECNURUNA2         	0.3000	0	UWaterlooATEK     	0.2000	5	0.1000
ECNURUNA2         	0.3000	0	UWaterlooATNDEK   	0.2000	5	0.1000
ECNURUNA2         	0.3000	0	udelRun2A         	0.1000	7	0.2000
ECNURUNA2         	0.3000	0	udelRun1A         	0.0000	25	0.3000
ECNURUNA2         	0.3000	0	MPII_HYBRID_PW    	0.0139	38	0.2861
ECNURUNA2         	0.3000	0	umd_hcil_run01    	0.3000	0	0.0000
ECNURUNA2         	0.3000	0	ECNURUNA3         	0.3000	0	0.0000
ECNURUNA2         	0.3000	0	prnaTaskA3        	0.3000	1	0.0000
ECNURUNA2         	0.3000	0	prnaTaskA2        	0.3000	1	0.0000
ECNURUNA2         	0.3000	0	prnaTaskA1        	0.3000	3	0.0000
ECNURUNA2         	0.3000	0	SNACSA            	0.0000	100	0.3000
ECNURUNA2         	0.3000	0	PKUICSTRunA3      	0.0000	82	0.3000
ECNURUNA2         	0.3000	0	PKUICSTRunA2      	0.1000	12	0.2000
ECNURUNA2         	0.3000	0	PKUICSTRunA1      	0.1000	64	0.2000
ECNURUNA2         	0.3000	0	MPII_COMB_SORT    	0.0138	99	0.2862
ECNURUNA2         	0.3000	0	SNACS_LA          	0.3000	0	0.0000
