hpclab_pi_algA    	0.0000	0	udelRun2A         	0.2500	7	-0.2500
hpclab_pi_algA    	0.0000	0	udelRun1A         	0.2000	13	-0.2000
hpclab_pi_algA    	0.0000	0	umd_hcil_run01    	0.0000	0	0.0000
hpclab_pi_algA    	0.0000	0	prnaTaskA3        	0.1000	1	-0.1000
hpclab_pi_algA    	0.0000	0	prnaTaskA2        	0.1000	1	-0.1000
hpclab_pi_algA    	0.0000	0	prnaTaskA1        	0.1000	1	-0.1000
hpclab_pi_algA    	0.0000	0	umd_hcil_run02    	0.0000	0	0.0000
hpclab_pi_algA    	0.0000	0	udelRun3A         	0.2917	17	-0.2917
UWaterlooATEK     	0.1784	19	hpclab_pi_algA    	0.0000	0	0.1784
UWaterlooATEK     	0.1784	19	UWaterlooATNDEK   	0.1784	19	0.0000
UWaterlooATEK     	0.1784	19	udelRun2A         	0.2500	7	-0.0716
UWaterlooATEK     	0.1784	19	udelRun1A         	0.2000	13	-0.0216
UWaterlooATEK     	0.1784	19	umd_hcil_run01    	0.0000	0	0.1784
UWaterlooATEK     	0.1784	19	prnaTaskA3        	0.1000	1	0.0784
UWaterlooATEK     	0.1784	19	prnaTaskA2        	0.1000	1	0.0784
UWaterlooATEK     	0.1784	19	prnaTaskA1        	0.1000	1	0.0784
UWaterlooATEK     	0.1784	19	umd_hcil_run02    	0.0000	0	0.1784
UWaterlooATEK     	0.1784	19	udelRun3A         	0.2917	17	-0.1133
UWaterlooATNDEK   	0.1784	19	hpclab_pi_algA    	0.0000	0	0.1784
UWaterlooATNDEK   	0.1784	19	udelRun2A         	0.2500	7	-0.0716
UWaterlooATNDEK   	0.1784	19	udelRun1A         	0.2000	13	-0.0216
UWaterlooATNDEK   	0.1784	19	umd_hcil_run01    	0.0000	0	0.1784
UWaterlooATNDEK   	0.1784	19	prnaTaskA3        	0.1000	1	0.0784
UWaterlooATNDEK   	0.1784	19	prnaTaskA2        	0.1000	1	0.0784
UWaterlooATNDEK   	0.1784	19	prnaTaskA1        	0.1000	1	0.0784
UWaterlooATNDEK   	0.1784	19	umd_hcil_run02    	0.0000	0	0.1784
UWaterlooATNDEK   	0.1784	19	udelRun3A         	0.2917	17	-0.1133
udelRun2A         	0.2500	7	umd_hcil_run01    	0.0000	0	0.2500
udelRun2A         	0.2500	7	umd_hcil_run02    	0.0000	0	0.2500
udelRun2A         	0.2500	7	udelRun3A         	0.2917	17	-0.0417
udelRun1A         	0.2000	13	udelRun2A         	0.2500	7	-0.0500
udelRun1A         	0.2000	13	umd_hcil_run01    	0.0000	0	0.2000
udelRun1A         	0.2000	13	umd_hcil_run02    	0.0000	0	0.2000
udelRun1A         	0.2000	13	udelRun3A         	0.2917	17	-0.0917
MPII_HYBRID_PW    	0.0895	23	hpclab_pi_algA    	0.0000	0	0.0895
MPII_HYBRID_PW    	0.0895	23	UWaterlooATEK     	0.1784	19	-0.0889
MPII_HYBRID_PW    	0.0895	23	UWaterlooATNDEK   	0.1784	19	-0.0889
MPII_HYBRID_PW    	0.0895	23	udelRun2A         	0.2500	7	-0.1605
MPII_HYBRID_PW    	0.0895	23	udelRun1A         	0.2000	13	-0.1105
MPII_HYBRID_PW    	0.0895	23	umd_hcil_run01    	0.0000	0	0.0895
MPII_HYBRID_PW    	0.0895	23	prnaTaskA3        	0.1000	1	-0.0105
MPII_HYBRID_PW    	0.0895	23	prnaTaskA2        	0.1000	1	-0.0105
MPII_HYBRID_PW    	0.0895	23	prnaTaskA1        	0.1000	1	-0.0105
MPII_HYBRID_PW    	0.0895	23	SNACSA            	0.2733	24	-0.1838
MPII_HYBRID_PW    	0.0895	23	PKUICSTRunA3      	0.0450	86	0.0445
MPII_HYBRID_PW    	0.0895	23	PKUICSTRunA2      	0.2833	13	-0.1938
MPII_HYBRID_PW    	0.0895	23	PKUICSTRunA1      	0.0450	86	0.0445
MPII_HYBRID_PW    	0.0895	23	SNACS_LA          	0.0000	0	0.0895
MPII_HYBRID_PW    	0.0895	23	UWaterlooATDK     	0.3527	20	-0.2632
MPII_HYBRID_PW    	0.0895	23	QUDynExp          	0.2207	39	-0.1312
MPII_HYBRID_PW    	0.0895	23	QUDyn             	0.2367	37	-0.1472
MPII_HYBRID_PW    	0.0895	23	UWCMBP1           	0.0250	2	0.0645
MPII_HYBRID_PW    	0.0895	23	UWCMBP2           	0.0000	0	0.0895
MPII_HYBRID_PW    	0.0895	23	QUBaseline        	0.3333	21	-0.2438
MPII_HYBRID_PW    	0.0895	23	umd_hcil_run02    	0.0000	0	0.0895
MPII_HYBRID_PW    	0.0895	23	MPII_LUC_SORT     	0.0709	84	0.0186
MPII_HYBRID_PW    	0.0895	23	udelRun3A         	0.2917	17	-0.2022
umd_hcil_run01    	0.0000	0	umd_hcil_run02    	0.0000	0	0.0000
ECNURUNA1         	0.0000	42	hpclab_pi_algA    	0.0000	0	0.0000
ECNURUNA1         	0.0000	42	UWaterlooATEK     	0.1784	19	-0.1784
ECNURUNA1         	0.0000	42	UWaterlooATNDEK   	0.1784	19	-0.1784
ECNURUNA1         	0.0000	42	udelRun2A         	0.2500	7	-0.2500
ECNURUNA1         	0.0000	42	udelRun1A         	0.2000	13	-0.2000
ECNURUNA1         	0.0000	42	MPII_HYBRID_PW    	0.0895	23	-0.0895
ECNURUNA1         	0.0000	42	umd_hcil_run01    	0.0000	0	0.0000
ECNURUNA1         	0.0000	42	ECNURUNA2         	0.0000	42	0.0000
ECNURUNA1         	0.0000	42	ECNURUNA3         	0.0000	37	0.0000
ECNURUNA1         	0.0000	42	prnaTaskA3        	0.1000	1	-0.1000
ECNURUNA1         	0.0000	42	prnaTaskA2        	0.1000	1	-0.1000
ECNURUNA1         	0.0000	42	prnaTaskA1        	0.1000	1	-0.1000
ECNURUNA1         	0.0000	42	SNACSA            	0.2733	24	-0.2733
ECNURUNA1         	0.0000	42	PKUICSTRunA3      	0.0450	86	-0.0450
ECNURUNA1         	0.0000	42	PKUICSTRunA2      	0.2833	13	-0.2833
ECNURUNA1         	0.0000	42	PKUICSTRunA1      	0.0450	86	-0.0450
ECNURUNA1         	0.0000	42	MPII_COMB_SORT    	0.0311	100	-0.0311
ECNURUNA1         	0.0000	42	SNACS_LA          	0.0000	0	0.0000
ECNURUNA1         	0.0000	42	UWaterlooATDK     	0.3527	20	-0.3527
ECNURUNA1         	0.0000	42	QUDynExp          	0.2207	39	-0.2207
