hpclab_pi_algA    	0.0000	26	udelRun2A         	0.0000	15	0.0000
hpclab_pi_algA    	0.0000	26	udelRun1A         	0.1276	33	-0.1276
hpclab_pi_algA    	0.0000	26	umd_hcil_run01    	0.0000	0	0.0000
hpclab_pi_algA    	0.0000	26	prnaTaskA3        	0.0000	9	0.0000
hpclab_pi_algA    	0.0000	26	prnaTaskA2        	0.0500	11	-0.0500
hpclab_pi_algA    	0.0000	26	prnaTaskA1        	0.1421	76	-0.1421
hpclab_pi_algA    	0.0000	26	umd_hcil_run02    	0.0000	9	0.0000
hpclab_pi_algA    	0.0000	26	udelRun3A         	0.2083	35	-0.2083
UWaterlooATEK     	0.0635	36	hpclab_pi_algA    	0.0000	26	0.0635
UWaterlooATEK     	0.0635	36	UWaterlooATNDEK   	0.0664	45	-0.0029
UWaterlooATEK     	0.0635	36	udelRun2A         	0.0000	15	0.0635
UWaterlooATEK     	0.0635	36	udelRun1A         	0.1276	33	-0.0641
UWaterlooATEK     	0.0635	36	umd_hcil_run01    	0.0000	0	0.0635
UWaterlooATEK     	0.0635	36	prnaTaskA3        	0.0000	9	0.0635
UWaterlooATEK     	0.0635	36	prnaTaskA2        	0.0500	11	0.0135
UWaterlooATEK     	0.0635	36	prnaTaskA1        	0.1421	76	-0.0786
UWaterlooATEK     	0.0635	36	umd_hcil_run02    	0.0000	9	0.0635
UWaterlooATEK     	0.0635	36	udelRun3A         	0.2083	35	-0.1448
UWaterlooATNDEK   	0.0664	45	hpclab_pi_algA    	0.0000	26	0.0664
UWaterlooATNDEK   	0.0664	45	udelRun2A         	0.0000	15	0.0664
UWaterlooATNDEK   	0.0664	45	udelRun1A         	0.1276	33	-0.0612
UWaterlooATNDEK   	0.0664	45	umd_hcil_run01    	0.0000	0	0.0664
UWaterlooATNDEK   	0.0664	45	prnaTaskA3        	0.0000	9	0.0664
UWaterlooATNDEK   	0.0664	45	prnaTaskA2        	0.0500	11	0.0164
UWaterlooATNDEK   	0.0664	45	prnaTaskA1        	0.1421	76	-0.0757
UWaterlooATNDEK   	0.0664	45	umd_hcil_run02    	0.0000	9	0.0664
UWaterlooATNDEK   	0.0664	45	udelRun3A         	0.2083	35	-0.1419
udelRun2A         	0.0000	15	umd_hcil_run01    	0.0000	0	0.0000
udelRun2A         	0.0000	15	umd_hcil_run02    	0.0000	9	0.0000
udelRun2A         	0.0000	15	udelRun3A         	0.2083	35	-0.2083
udelRun1A         	0.1276	33	udelRun2A         	0.0000	15	0.1276
udelRun1A         	0.1276	33	umd_hcil_run01    	0.0000	0	0.1276
udelRun1A         	0.1276	33	umd_hcil_run02    	0.0000	9	0.1276
udelRun1A         	0.1276	33	udelRun3A         	0.2083	35	-0.0807
MPII_HYBRID_PW    	0.0650	48	hpclab_pi_algA    	0.0000	26	0.0650
