hpclab_pi_algA    	0.8000	0	udelRun2A         	0.4000	5	0.4000
hpclab_pi_algA    	0.8000	0	udelRun1A         	0.2000	11	0.6000
hpclab_pi_algA    	0.8000	0	umd_hcil_run01    	0.8000	0	0.0000
hpclab_pi_algA    	0.8000	0	prnaTaskA3        	0.3500	12	0.4500
hpclab_pi_algA    	0.8000	0	prnaTaskA2        	0.1625	20	0.6375
hpclab_pi_algA    	0.8000	0	prnaTaskA1        	0.1267	25	0.6733
hpclab_pi_algA    	0.8000	0	umd_hcil_run02    	0.7000	3	0.1000
hpclab_pi_algA    	0.8000	0	udelRun3A         	0.3000	8	0.5000
UWaterlooATEK     	0.3105	15	hpclab_pi_algA    	0.8000	0	-0.4895
UWaterlooATEK     	0.3105	15	UWaterlooATNDEK   	0.3105	17	0.0000
UWaterlooATEK     	0.3105	15	udelRun2A         	0.4000	5	-0.0895
UWaterlooATEK     	0.3105	15	udelRun1A         	0.2000	11	0.1105
UWaterlooATEK     	0.3105	15	umd_hcil_run01    	0.8000	0	-0.4895
UWaterlooATEK     	0.3105	15	prnaTaskA3        	0.3500	12	-0.0395
UWaterlooATEK     	0.3105	15	prnaTaskA2        	0.1625	20	0.1480
UWaterlooATEK     	0.3105	15	prnaTaskA1        	0.1267	25	0.1838
UWaterlooATEK     	0.3105	15	umd_hcil_run02    	0.7000	3	-0.3895
UWaterlooATEK     	0.3105	15	udelRun3A         	0.3000	8	0.0105
UWaterlooATNDEK   	0.3105	17	hpclab_pi_algA    	0.8000	0	-0.4895
UWaterlooATNDEK   	0.3105	17	udelRun2A         	0.4000	5	-0.0895
UWaterlooATNDEK   	0.3105	17	udelRun1A         	0.2000	11	0.1105
UWaterlooATNDEK   	0.3105	17	umd_hcil_run01    	0.8000	0	-0.4895
UWaterlooATNDEK   	0.3105	17	prnaTaskA3        	0.3500	12	-0.0395
UWaterlooATNDEK   	0.3105	17	prnaTaskA2        	0.1625	20	0.1480
UWaterlooATNDEK   	0.3105	17	prnaTaskA1        	0.1267	25	0.1838
UWaterlooATNDEK   	0.3105	17	umd_hcil_run02    	0.7000	3	-0.3895
UWaterlooATNDEK   	0.3105	17	udelRun3A         	0.3000	8	0.0105
udelRun2A         	0.4000	5	umd_hcil_run01    	0.8000	0	-0.4000
udelRun2A         	0.4000	5	umd_hcil_run02    	0.7000	3	-0.3000
