hpclab_pi_algA    	0.0000	0	udelRun2A         	0.3167	11	-0.3167
hpclab_pi_algA    	0.0000	0	udelRun1A         	0.2982	13	-0.2982
hpclab_pi_algA    	0.0000	0	umd_hcil_run01    	0.0000	0	0.0000
hpclab_pi_algA    	0.0000	0	prnaTaskA3        	0.0500	1	-0.0500
hpclab_pi_algA    	0.0000	0	prnaTaskA2        	0.0500	1	-0.0500
hpclab_pi_algA    	0.0000	0	prnaTaskA1        	0.0500	2	-0.0500
hpclab_pi_algA    	0.0000	0	umd_hcil_run02    	0.0000	0	0.0000
hpclab_pi_algA    	0.0000	0	udelRun3A         	0.3250	9	-0.3250
UWaterlooATEK     	0.1007	16	hpclab_pi_algA    	0.0000	0	0.1007
UWaterlooATEK     	0.1007	16	UWaterlooATNDEK   	0.1007	16	0.0000
UWaterlooATEK     	0.1007	16	udelRun2A         	0.3167	11	-0.2160
UWaterlooATEK     	0.1007	16	udelRun1A         	0.2982	13	-0.1975
UWaterlooATEK     	0.1007	16	umd_hcil_run01    	0.0000	0	0.1007
UWaterlooATEK     	0.1007	16	prnaTaskA3        	0.0500	1	0.0507
UWaterlooATEK     	0.1007	16	prnaTaskA2        	0.0500	1	0.0507
UWaterlooATEK     	0.1007	16	prnaTaskA1        	0.0500	2	0.0507
UWaterlooATEK     	0.1007	16	umd_hcil_run02    	0.0000	0	0.1007
UWaterlooATEK     	0.1007	16	udelRun3A         	0.3250	9	-0.2243
UWaterlooATNDEK   	0.1007	16	hpclab_pi_algA    	0.0000	0	0.1007
UWaterlooATNDEK   	0.1007	16	udelRun2A         	0.3167	11	-0.2160
UWaterlooATNDEK   	0.1007	16	udelRun1A         	0.2982	13	-0.1975
UWaterlooATNDEK   	0.1007	16	umd_hcil_run01    	0.0000	0	0.1007
UWaterlooATNDEK   	0.1007	16	prnaTaskA3        	0.0500	1	0.0507
UWaterlooATNDEK   	0.1007	16	prnaTaskA2        	0.0500	1	0.0507
UWaterlooATNDEK   	0.1007	16	prnaTaskA1        	0.0500	2	0.0507
UWaterlooATNDEK   	0.1007	16	umd_hcil_run02    	0.0000	0	0.1007
UWaterlooATNDEK   	0.1007	16	udelRun3A         	0.3250	9	-0.2243
udelRun2A         	0.3167	11	umd_hcil_run01    	0.0000	0	0.3167
udelRun2A         	0.3167	11	umd_hcil_run02    	0.0000	0	0.3167
udelRun2A         	0.3167	11	udelRun3A         	0.3250	9	-0.0083
udelRun1A         	0.2982	13	udelRun2A         	0.3167	11	-0.0185
udelRun1A         	0.2982	13	umd_hcil_run01    	0.0000	0	0.2982
udelRun1A         	0.2982	13	umd_hcil_run02    	0.0000	0	0.2982
udelRun1A         	0.2982	13	udelRun3A         	0.3250	9	-0.0268
MPII_HYBRID_PW    	0.0142	26	hpclab_pi_algA    	0.0000	0	0.0142
MPII_HYBRID_PW    	0.0142	26	UWaterlooATEK     	0.1007	16	-0.0865
MPII_HYBRID_PW    	0.0142	26	UWaterlooATNDEK   	0.1007	16	-0.0865
MPII_HYBRID_PW    	0.0142	26	udelRun2A         	0.3167	11	-0.3025
MPII_HYBRID_PW    	0.0142	26	udelRun1A         	0.2982	13	-0.2840
MPII_HYBRID_PW    	0.0142	26	umd_hcil_run01    	0.0000	0	0.0142
MPII_HYBRID_PW    	0.0142	26	prnaTaskA3        	0.0500	1	-0.0358
MPII_HYBRID_PW    	0.0142	26	prnaTaskA2        	0.0500	1	-0.0358
MPII_HYBRID_PW    	0.0142	26	prnaTaskA1        	0.0500	2	-0.0358
MPII_HYBRID_PW    	0.0142	26	SNACSA            	0.2183	21	-0.2041
MPII_HYBRID_PW    	0.0142	26	PKUICSTRunA3      	0.0250	95	-0.0108
MPII_HYBRID_PW    	0.0142	26	PKUICSTRunA2      	0.1908	20	-0.1766
MPII_HYBRID_PW    	0.0142	26	PKUICSTRunA1      	0.0275	94	-0.0133
MPII_HYBRID_PW    	0.0142	26	SNACS_LA          	0.0000	0	0.0142
MPII_HYBRID_PW    	0.0142	26	UWaterlooATDK     	0.1833	16	-0.1691
MPII_HYBRID_PW    	0.0142	26	QUDynExp          	0.0968	56	-0.0826
MPII_HYBRID_PW    	0.0142	26	QUDyn             	0.0914	63	-0.0772
MPII_HYBRID_PW    	0.0142	26	UWCMBP1           	0.0500	10	-0.0358
MPII_HYBRID_PW    	0.0142	26	UWCMBP2           	0.1833	11	-0.1691
MPII_HYBRID_PW    	0.0142	26	QUBaseline        	0.2083	17	-0.1941
MPII_HYBRID_PW    	0.0142	26	umd_hcil_run02    	0.0000	0	0.0142
MPII_HYBRID_PW    	0.0142	26	MPII_LUC_SORT     	0.0188	85	-0.0046
MPII_HYBRID_PW    	0.0142	26	udelRun3A         	0.3250	9	-0.3108
umd_hcil_run01    	0.0000	0	umd_hcil_run02    	0.0000	0	0.0000
ECNURUNA1         	0.0000	35	hpclab_pi_algA    	0.0000	0	0.0000
ECNURUNA1         	0.0000	35	UWaterlooATEK     	0.1007	16	-0.1007
ECNURUNA1         	0.0000	35	UWaterlooATNDEK   	0.1007	16	-0.1007
ECNURUNA1         	0.0000	35	udelRun2A         	0.3167	11	-0.3167
ECNURUNA1         	0.0000	35	udelRun1A         	0.2982	13	-0.2982
ECNURUNA1         	0.0000	35	MPII_HYBRID_PW    	0.0142	26	-0.0142
ECNURUNA1         	0.0000	35	umd_hcil_run01    	0.0000	0	0.0000
ECNURUNA1         	0.0000	35	ECNURUNA2         	0.0000	32	0.0000
ECNURUNA1         	0.0000	35	ECNURUNA3         	0.0000	31	0.0000
ECNURUNA1         	0.0000	35	prnaTaskA3        	0.0500	1	-0.0500
ECNURUNA1         	0.0000	35	prnaTaskA2        	0.0500	1	-0.0500
ECNURUNA1         	0.0000	35	prnaTaskA1        	0.0500	2	-0.0500
ECNURUNA1         	0.0000	35	SNACSA            	0.2183	21	-0.2183
ECNURUNA1         	0.0000	35	PKUICSTRunA3      	0.0250	95	-0.0250
ECNURUNA1         	0.0000	35	PKUICSTRunA2      	0.1908	20	-0.1908
ECNURUNA1         	0.0000	35	PKUICSTRunA1      	0.0275	94	-0.0275
ECNURUNA1         	0.0000	35	MPII_COMB_SORT    	0.0042	97	-0.0042
ECNURUNA1         	0.0000	35	SNACS_LA          	0.0000	0	0.0000
ECNURUNA1         	0.0000	35	UWaterlooATDK     	0.1833	16	-0.1833
ECNURUNA1         	0.0000	35	QUDynExp          	0.0968	56	-0.0968
ECNURUNA1         	0.0000	35	IRIT-KLTFIDF      	0.0000	1	0.0000
ECNURUNA1         	0.0000	35	IritSigSDA        	0.0000	3	0.0000
ECNURUNA1         	0.0000	35	IRIT-RTNotif.33   	0.0000	33	0.0000
ECNURUNA1         	0.0000	35	QUDyn             	0.0914	63	-0.0914
ECNURUNA1         	0.0000	35	UWCMBP1           	0.0500	10	-0.0500
ECNURUNA1         	0.0000	35	UWCMBP2           	0.1833	11	-0.1833
ECNURUNA1         	0.0000	35	QUBaseline        	0.2083	17	-0.2083
ECNURUNA1         	0.0000	35	umd_hcil_run02    	0.0000	0	0.0000
ECNURUNA1         	0.0000	35	MPII_LUC_SORT     	0.0188	85	-0.0188
ECNURUNA1         	0.0000	35	udelRun3A         	0.3250	9	-0.3250
ECNURUNA2         	0.0000	32	hpclab_pi_algA    	0.0000	0	0.0000
ECNURUNA2         	0.0000	32	UWaterlooATEK     	0.1007	16	-0.1007
ECNURUNA2         	0.0000	32	UWaterlooATNDEK   	0.1007	16	-0.1007
ECNURUNA2         	0.0000	32	udelRun2A         	0.3167	11	-0.3167
ECNURUNA2         	0.0000	32	udelRun1A         	0.2982	13	-0.2982
ECNURUNA2         	0.0000	32	MPII_HYBRID_PW    	0.0142	26	-0.0142
ECNURUNA2         	0.0000	32	umd_hcil_run01    	0.0000	0	0.0000
ECNURUNA2         	0.0000	32	ECNURUNA3         	0.0000	31	0.0000
ECNURUNA2         	0.0000	32	prnaTaskA3        	0.0500	1	-0.0500
ECNURUNA2         	0.0000	32	prnaTaskA2        	0.0500	1	-0.0500
ECNURUNA2         	0.0000	32	prnaTaskA1        	0.0500	2	-0.0500
ECNURUNA2         	0.0000	32	SNACSA            	0.2183	21	-0.2183
ECNURUNA2         	0.0000	32	PKUICSTRunA3      	0.0250	95	-0.0250
ECNURUNA2         	0.0000	32	PKUICSTRunA2      	0.1908	20	-0.1908
ECNURUNA2         	0.0000	32	PKUICSTRunA1      	0.0275	94	-0.0275
ECNURUNA2         	0.0000	32	MPII_COMB_SORT    	0.0042	97	-0.0042
ECNURUNA2         	0.0000	32	SNACS_LA          	0.0000	0	0.0000
ECNURUNA2         	0.0000	32	UWaterlooATDK     	0.1833	16	-0.1833
ECNURUNA2         	0.0000	32	QUDynExp          	0.0968	56	-0.0968
ECNURUNA2         	0.0000	32	IRIT-KLTFIDF      	0.0000	1	0.0000
ECNURUNA2         	0.0000	32	IritSigSDA        	0.0000	3	0.0000
ECNURUNA2         	0.0000	32	IRIT-RTNotif.33   	0.0000	33	0.0000
ECNURUNA2         	0.0000	32	QUDyn             	0.0914	63	-0.0914
ECNURUNA2         	0.0000	32	UWCMBP1           	0.0500	10	-0.0500
ECNURUNA2         	0.0000	32	UWCMBP2           	0.1833	11	-0.1833
ECNURUNA2         	0.0000	32	QUBaseline        	0.2083	17	-0.2083
ECNURUNA2         	0.0000	32	umd_hcil_run02    	0.0000	0	0.0000
ECNURUNA2         	0.0000	32	MPII_LUC_SORT     	0.0188	85	-0.0188
ECNURUNA2         	0.0000	32	udelRun3A         	0.3250	9	-0.3250
ECNURUNA3         	0.0000	31	hpclab_pi_algA    	0.0000	0	0.0000
ECNURUNA3         	0.0000	31	UWaterlooATEK     	0.1007	16	-0.1007
ECNURUNA3         	0.0000	31	UWaterlooATNDEK   	0.1007	16	-0.1007
ECNURUNA3         	0.0000	31	udelRun2A         	0.3167	11	-0.3167
ECNURUNA3         	0.0000	31	udelRun1A         	0.2982	13	-0.2982
ECNURUNA3         	0.0000	31	MPII_HYBRID_PW    	0.0142	26	-0.0142
ECNURUNA3         	0.0000	31	umd_hcil_run01    	0.0000	0	0.0000
ECNURUNA3         	0.0000	31	prnaTaskA3        	0.0500	1	-0.0500
ECNURUNA3         	0.0000	31	prnaTaskA2        	0.0500	1	-0.0500
ECNURUNA3         	0.0000	31	prnaTaskA1        	0.0500	2	-0.0500
ECNURUNA3         	0.0000	31	SNACSA            	0.2183	21	-0.2183
ECNURUNA3         	0.0000	31	PKUICSTRunA3      	0.0250	95	-0.0250
ECNURUNA3         	0.0000	31	PKUICSTRunA2      	0.1908	20	-0.1908
ECNURUNA3         	0.0000	31	PKUICSTRunA1      	0.0275	94	-0.0275
ECNURUNA3         	0.0000	31	MPII_COMB_SORT    	0.0042	97	-0.0042
ECNURUNA3         	0.0000	31	SNACS_LA          	0.0000	0	0.0000
ECNURUNA3         	0.0000	31	UWaterlooATDK     	0.1833	16	-0.1833
ECNURUNA3         	0.0000	31	QUDynExp          	0.0968	56	-0.0968
ECNURUNA3         	0.0000	31	IRIT-KLTFIDF      	0.0000	1	0.0000
ECNURUNA3         	0.0000	31	IritSigSDA        	0.0000	3	0.0000
ECNURUNA3         	0.0000	31	IRIT-RTNotif.33   	0.0000	33	0.0000
ECNURUNA3         	0.0000	31	QUDyn             	0.0914	63	-0.0914
ECNURUNA3         	0.0000	31	UWCMBP1           	0.0500	10	-0.0500
ECNURUNA3         	0.0000	31	UWCMBP2           	0.1833	11	-0.1833
ECNURUNA3         	0.0000	31	QUBaseline        	0.2083	17	-0.2083
ECNURUNA3         	0.0000	31	umd_hcil_run02    	0.0000	0	0.0000
ECNURUNA3         	0.0000	31	MPII_LUC_SORT     	0.0188	85	-0.0188
ECNURUNA3         	0.0000	31	udelRun3A         	0.3250	9	-0.3250
prnaTaskA3        	0.0500	1	udelRun2A         	0.3167	11	-0.2667
prnaTaskA3        	0.0500	1	udelRun1A         	0.2982	13	-0.2482
prnaTaskA3        	0.0500	1	umd_hcil_run01    	0.0000	0	0.0500
prnaTaskA3        	0.0500	1	umd_hcil_run02    	0.0000	0	0.0500
prnaTaskA3        	0.0500	1	udelRun3A         	0.3250	9	-0.2750
prnaTaskA2        	0.0500	1	udelRun2A         	0.3167	11	-0.2667
prnaTaskA2        	0.0500	1	udelRun1A         	0.2982	13	-0.2482
prnaTaskA2        	0.0500	1	umd_hcil_run01    	0.0000	0	0.0500
prnaTaskA2        	0.0500	1	prnaTaskA3        	0.0500	1	0.0000
prnaTaskA2        	0.0500	1	umd_hcil_run02    	0.0000	0	0.0500
prnaTaskA2        	0.0500	1	udelRun3A         	0.3250	9	-0.2750
prnaTaskA1        	0.0500	2	udelRun2A         	0.3167	11	-0.2667
prnaTaskA1        	0.0500	2	udelRun1A         	0.2982	13	-0.2482
prnaTaskA1        	0.0500	2	umd_hcil_run01    	0.0000	0	0.0500
prnaTaskA1        	0.0500	2	prnaTaskA3        	0.0500	1	0.0000
prnaTaskA1        	0.0500	2	prnaTaskA2        	0.0500	1	0.0000
prnaTaskA1        	0.0500	2	umd_hcil_run02    	0.0000	0	0.0500
prnaTaskA1        	0.0500	2	udelRun3A         	0.3250	9	-0.2750
SNACSA            	0.2183	21	hpclab_pi_algA    	0.0000	0	0.2183
SNACSA            	0.2183	21	UWaterlooATEK     	0.1007	16	0.1176
SNACSA            	0.2183	21	UWaterlooATNDEK   	0.1007	16	0.1176
SNACSA            	0.2183	21	udelRun2A         	0.3167	11	-0.0984
SNACSA            	0.2183	21	udelRun1A         	0.2982	13	-0.0799
SNACSA            	0.2183	21	umd_hcil_run01    	0.0000	0	0.2183
SNACSA            	0.2183	21	prnaTaskA3        	0.0500	1	0.1683
SNACSA            	0.2183	21	prnaTaskA2        	0.0500	1	0.1683
SNACSA            	0.2183	21	prnaTaskA1        	0.0500	2	0.1683
SNACSA            	0.2183	21	SNACS_LA          	0.0000	0	0.2183
SNACSA            	0.2183	21	UWaterlooATDK     	0.1833	16	0.0350
SNACSA            	0.2183	21	UWCMBP1           	0.0500	10	0.1683
SNACSA            	0.2183	21	UWCMBP2           	0.1833	11	0.0350
SNACSA            	0.2183	21	umd_hcil_run02    	0.0000	0	0.2183
SNACSA            	0.2183	21	udelRun3A         	0.3250	9	-0.1067
PKUICSTRunA3      	0.0250	95	hpclab_pi_algA    	0.0000	0	0.0250
PKUICSTRunA3      	0.0250	95	UWaterlooATEK     	0.1007	16	-0.0757
PKUICSTRunA3      	0.0250	95	UWaterlooATNDEK   	0.1007	16	-0.0757
PKUICSTRunA3      	0.0250	95	udelRun2A         	0.3167	11	-0.2917
PKUICSTRunA3      	0.0250	95	udelRun1A         	0.2982	13	-0.2732
PKUICSTRunA3      	0.0250	95	umd_hcil_run01    	0.0000	0	0.0250
PKUICSTRunA3      	0.0250	95	prnaTaskA3        	0.0500	1	-0.0250
PKUICSTRunA3      	0.0250	95	prnaTaskA2        	0.0500	1	-0.0250
PKUICSTRunA3      	0.0250	95	prnaTaskA1        	0.0500	2	-0.0250
PKUICSTRunA3      	0.0250	95	SNACSA            	0.2183	21	-0.1933
PKUICSTRunA3      	0.0250	95	SNACS_LA          	0.0000	0	0.0250
PKUICSTRunA3      	0.0250	95	UWaterlooATDK     	0.1833	16	-0.1583
PKUICSTRunA3      	0.0250	95	QUDynExp          	0.0968	56	-0.0718
PKUICSTRunA3      	0.0250	95	QUDyn             	0.0914	63	-0.0664
PKUICSTRunA3      	0.0250	95	UWCMBP1           	0.0500	10	-0.0250
PKUICSTRunA3      	0.0250	95	UWCMBP2           	0.1833	11	-0.1583
PKUICSTRunA3      	0.0250	95	QUBaseline        	0.2083	17	-0.1833
PKUICSTRunA3      	0.0250	95	umd_hcil_run02    	0.0000	0	0.0250
PKUICSTRunA3      	0.0250	95	udelRun3A         	0.3250	9	-0.3000
PKUICSTRunA2      	0.1908	20	hpclab_pi_algA    	0.0000	0	0.1908
PKUICSTRunA2      	0.1908	20	UWaterlooATEK     	0.1007	16	0.0901
PKUICSTRunA2      	0.1908	20	UWaterlooATNDEK   	0.1007	16	0.0901
PKUICSTRunA2      	0.1908	20	udelRun2A         	0.3167	11	-0.1259
PKUICSTRunA2      	0.1908	20	udelRun1A         	0.2982	13	-0.1074
PKUICSTRunA2      	0.1908	20	umd_hcil_run01    	0.0000	0	0.1908
PKUICSTRunA2      	0.1908	20	prnaTaskA3        	0.0500	1	0.1408
PKUICSTRunA2      	0.1908	20	prnaTaskA2        	0.0500	1	0.1408
PKUICSTRunA2      	0.1908	20	prnaTaskA1        	0.0500	2	0.1408
PKUICSTRunA2      	0.1908	20	SNACSA            	0.2183	21	-0.0275
PKUICSTRunA2      	0.1908	20	PKUICSTRunA3      	0.0250	95	0.1658
PKUICSTRunA2      	0.1908	20	SNACS_LA          	0.0000	0	0.1908
PKUICSTRunA2      	0.1908	20	UWaterlooATDK     	0.1833	16	0.0075
PKUICSTRunA2      	0.1908	20	QUDynExp          	0.0968	56	0.0940
PKUICSTRunA2      	0.1908	20	QUDyn             	0.0914	63	0.0994
PKUICSTRunA2      	0.1908	20	UWCMBP1           	0.0500	10	0.1408
PKUICSTRunA2      	0.1908	20	UWCMBP2           	0.1833	11	0.0075
PKUICSTRunA2      	0.1908	20	QUBaseline        	0.2083	17	-0.0175
PKUICSTRunA2      	0.1908	20	umd_hcil_run02    	0.0000	0	0.1908
PKUICSTRunA2      	0.1908	20	udelRun3A         	0.3250	9	-0.1342
PKUICSTRunA1      	0.0275	94	hpclab_pi_algA    	0.0000	0	0.0275
PKUICSTRunA1      	0.0275	94	UWaterlooATEK     	0.1007	16	-0.0732
PKUICSTRunA1      	0.0275	94	UWaterlooATNDEK   	0.1007	16	-0.0732
PKUICSTRunA1      	0.0275	94	udelRun2A         	0.3167	11	-0.2892
PKUICSTRunA1      	0.0275	94	udelRun1A         	0.2982	13	-0.2707
PKUICSTRunA1      	0.0275	94	umd_hcil_run01    	0.0000	0	0.0275
PKUICSTRunA1      	0.0275	94	prnaTaskA3        	0.0500	1	-0.0225
PKUICSTRunA1      	0.0275	94	prnaTaskA2        	0.0500	1	-0.0225
PKUICSTRunA1      	0.0275	94	prnaTaskA1        	0.0500	2	-0.0225
PKUICSTRunA1      	0.0275	94	SNACSA            	0.2183	21	-0.1908
PKUICSTRunA1      	0.0275	94	PKUICSTRunA3      	0.0250	95	0.0025
PKUICSTRunA1      	0.0275	94	PKUICSTRunA2      	0.1908	20	-0.1633
PKUICSTRunA1      	0.0275	94	SNACS_LA          	0.0000	0	0.0275
PKUICSTRunA1      	0.0275	94	UWaterlooATDK     	0.1833	16	-0.1558
PKUICSTRunA1      	0.0275	94	QUDynExp          	0.0968	56	-0.0693
PKUICSTRunA1      	0.0275	94	QUDyn             	0.0914	63	-0.0639
PKUICSTRunA1      	0.0275	94	UWCMBP1           	0.0500	10	-0.0225
PKUICSTRunA1      	0.0275	94	UWCMBP2           	0.1833	11	-0.1558
