0	دنبال مقالات مربوط به ورزشکاران زن ایرانی هستم که به کشورهای دیگر پناهنده شده اند. بانوان ورزشکار ایرانی پناهنده
2	دنبال مقاله‌هایی هستم که جزئیات چگونگی تأثیر تغییراقلیم بر روسیه را از نظر زیست‌محیطی، اقتصادی، سلامت انسان یا امنیت ملی نشان می‌دهند. چگونه تغییراقلیم روسیه را تحت تاثیر قرار می دهد
3	 دنبال مقالاتی در مورد افرادی که به دادگاه کیفری آورده شده اند هستم که در رسوایی ملامین در چین به دادگاه کیفری کشانده شدند. رسوایی ملامین در چین
4	من به دنبال گزارش هایی در مورد مقاماتی هستم که به اتهام فساد در ساخت مجتمع پرتاب فضایی روسی در وستوچنی در شرق دور محکوم شده اند. فساد در حین ساخت و ساز پایگاه فضایی وستوچنی
5	به دنبال گزارش هایی در مورد اینکه آیا ستاره «بتلژوز» تبدیل به یک ابرنواختر تهدیدی برای زمین خواهد بود یا خیر، هستم. خطر تبدیل شدن ستاره «بتلژوز» به ابرنواختر
6	دنبال اطلاعاتی هستم در مورد افزایش شدید، ناگهانی و چشمگیر جمعیت پروانه ها در اروپا، از جمله منطقه قفقاز. افزایش چشمگیر جمعیت پروانه ها
7	دنبال اطلاعاتی هستم در مورد آوردن دوچرخه در قطارهای محلی یا راه دور. آوردن دوچرخه در قطار
8	 به دنبال داستان هایی در رسانه های چین درباره پیروزی جو بایدن در انتخابات ریاست جمهوری ایالات متحده هستم. گزارش در رسانه ها  در چین از انتخاب بایدن به عنوان رئیس جمهور 
9	آیا یادگیری آنلاین در طول همه گیری ویروس کرونا منجر به افزایش افسردگی در بین کودکان دبستانی شد؟ تأثیراموزش مجازی در همه گیری کرونا بر کودکان
10	 دنبال مقالاتی در مورد تأثیر تحریم های روسیه بر بخش کشاورزی هستم. تحریم ها بر کشاورزی روسیه تأثیر می گذارد
11	من به دنبال گزارشی در مورد برخورد رسمی چین در قبال خروج ایالات متحده از  توافقنامه آب و هوایی (اقلیمی) پاریس هستم. موضع چین نسبت به خروج ایالات متحده از توافقنامه آب و هوایی (اقلیمی) پاریس
12	دنبال مقالاتی در مورد اینکه چگونه اقتصاد چین می تواند در برابر همه گیری ویروس کرونا ویروس کرونا مقاومت کند، هستم. اقتصاد چین تحت تاثیر ویروس کرونا
13	من به دنبال داستان هایی در مورد اختلاف  برسرِحقوق مالکیت معنوی تسلا هستم که شرکت تسلا در چین با آن مواجه شده است. اختلاف برسرِحقوق مالکیت معنوی تسلا در چین
14	"دنبال واکنش های ایرانی و اخبارها مربوط به سریال ساخته اسرائیل «تهران» هستم. سریال تلویزیونی اسرائیلی ""تهران"""
16	دنبال مقالاتی در مورد کاهش چشمگیر تعداد زنبورها و کندوهای عسل هستم. کاهش چشمگیر تعداد زنبورهای 
17	 دنبال مقالاتی در مورد تاثیر پایگاه تحقیقاتی پرورش پاندا غول پیکر چنگدو بر گردشگری محلی هستم. تاثیر پایگاه تحقیقاتی پرورش پاندای غول پیکر چنگدو بر گردشگری محلی
18	 من علاقه مند به یافتن اطلاعاتی در مورد وضعیت نزدیک بینی در بین دانش آموزانِ  مدارس چین هستم. وضعیت نرخ نزدیک بینی در میان دانش آموزانِ مدارس در چین
19	من علاقمندم مقالاتی در مورد اخبار مرتبط با آلودگی فرمالین (فرمالدهید) در محصولات خانگی در چین را پیدا کنم اخبار مرتبط با آلودگی فرمالین (فرمالدهید) در محصولات خانگی در چین
20	علاقه مندم بدانم آیا بیماران ایدز در چین در معرض تبعیض هستند آیا بیماران ایدز در چین در معرض تبعیض هستند؟
21	 دنبال اطلاعاتی در مورد مسائل مربوط به تحریم ها در مورد صادرات تیتانیوم از روسیه به ایالات متحده هستم. تحریم صادرات تیتانیوم از روسیه به ایالات متحده
22	 دنبال اطلاعات در مورد واکسن ویروس کرونا برای کودکان در روسیه هستم. واکسن ویروس کرونا برای کودکان در روسیه
23	 دنبال مقالاتی در مورد سیاه چاله در مرکز کهکشان ام ۸۷ هستم. سیاه چاله در ام ۸۷
24	دنبال مقالاتی در مورد رشد انرژی بادی در روسیه هستم انرژی بادی در روسیه
25	تلاش چین برای تصاحب بازار ۵جی در روسیه باید کرملین را نگران کند. وابستگی روسیه به تجهیزات ۵جی چین
26	دنبال مقالاتی هستم که نشان دهنده نگرش روسیه نسبت به نامزد ریاست جمهوری اوکراین ولودیمیر زلنسکی باشد. زلنسکی نامزد ریاست جمهوری اوکراین
27	 علاقه مندم بدانم چه گونه هایی از موجودات  در رودخانه یانگ تسه و حوضه ی آن، به دلیل آلودگی آب در خطر انقراض هستند. چه گونه هایی از موجودات دررودخانه ی یانگ تسه به دلیل آلودگی در خطر انقراض هستند؟
28	به دنبال مقالاتی شامل شواهد به منظور شناسایی مومیایی ۲۵۰۰هزار ساله معروف به شاهزاده اوکوک هستم. شناسایی شاهزاده خانم اوکوک
29	علاقه مندم به یافتن اطلاعات در مورد پروژه های ساخت شهر اسفنجی در چین. پروژه های شهر اسفنجی چین
30	من به دنبال مقالاتی هستم که توضیح دهند چگونه بحران پناهجویان می تواند اروپا را تقسیم کند. بحران پناهجویان اروپا را از هم جدا کرده است.
31	 دنبال مقالاتی هستم در مورد اینکه استفاده از تفلون ممکن است خطرات احتمالی برای سلامتی ایجاد کند. خطرات احتمالی استفاده از تفلون برای سلامتی
32	دنبال مقالاتی در مورد درمان  یا روش هایی برای کاهش واکنش های مرتبط با حساسیت به بادام زمینی هستم. درمان حساسیت به بادام زمینی
33	تغییر اقلیم چگونه بر الگوهای آب و هوای کنونی ایران تأثیر گذاشته است؟ اثرات تغییر اقلیم بر آب و هوای کنونی ایران
