hpclab_pi_algA    	0.4000	25	udelRun2A         	0.0000	32	0.4000
hpclab_pi_algA    	0.4000	25	udelRun1A         	0.0500	51	0.3500
hpclab_pi_algA    	0.4000	25	umd_hcil_run01    	0.4000	0	0.0000
hpclab_pi_algA    	0.4000	25	prnaTaskA3        	0.5000	1	-0.1000
hpclab_pi_algA    	0.4000	25	prnaTaskA2        	0.5000	1	-0.1000
hpclab_pi_algA    	0.4000	25	prnaTaskA1        	0.5000	4	-0.1000
hpclab_pi_algA    	0.4000	25	umd_hcil_run02    	0.4000	1	0.0000
hpclab_pi_algA    	0.4000	25	udelRun3A         	0.0000	35	0.4000
UWaterlooATEK     	0.3120	3	hpclab_pi_algA    	0.4000	25	-0.0880
UWaterlooATEK     	0.3120	3	UWaterlooATNDEK   	0.3120	4	0.0000
UWaterlooATEK     	0.3120	3	udelRun2A         	0.0000	32	0.3120
UWaterlooATEK     	0.3120	3	udelRun1A         	0.0500	51	0.2620
UWaterlooATEK     	0.3120	3	umd_hcil_run01    	0.4000	0	-0.0880
UWaterlooATEK     	0.3120	3	prnaTaskA3        	0.5000	1	-0.1880
UWaterlooATEK     	0.3120	3	prnaTaskA2        	0.5000	1	-0.1880
UWaterlooATEK     	0.3120	3	prnaTaskA1        	0.5000	4	-0.1880
UWaterlooATEK     	0.3120	3	umd_hcil_run02    	0.4000	1	-0.0880
UWaterlooATEK     	0.3120	3	udelRun3A         	0.0000	35	0.3120
UWaterlooATNDEK   	0.3120	4	hpclab_pi_algA    	0.4000	25	-0.0880
UWaterlooATNDEK   	0.3120	4	udelRun2A         	0.0000	32	0.3120
UWaterlooATNDEK   	0.3120	4	udelRun1A         	0.0500	51	0.2620
UWaterlooATNDEK   	0.3120	4	umd_hcil_run01    	0.4000	0	-0.0880
UWaterlooATNDEK   	0.3120	4	prnaTaskA3        	0.5000	1	-0.1880
UWaterlooATNDEK   	0.3120	4	prnaTaskA2        	0.5000	1	-0.1880
UWaterlooATNDEK   	0.3120	4	prnaTaskA1        	0.5000	4	-0.1880
UWaterlooATNDEK   	0.3120	4	umd_hcil_run02    	0.4000	1	-0.0880
UWaterlooATNDEK   	0.3120	4	udelRun3A         	0.0000	35	0.3120
udelRun2A         	0.0000	32	umd_hcil_run01    	0.4000	0	-0.4000
udelRun2A         	0.0000	32	umd_hcil_run02    	0.4000	1	-0.4000
udelRun2A         	0.0000	32	udelRun3A         	0.0000	35	0.0000
udelRun1A         	0.0500	51	udelRun2A         	0.0000	32	0.0500
udelRun1A         	0.0500	51	umd_hcil_run01    	0.4000	0	-0.3500
udelRun1A         	0.0500	51	umd_hcil_run02    	0.4000	1	-0.3500
udelRun1A         	0.0500	51	udelRun3A         	0.0000	35	0.0500
MPII_HYBRID_PW    	0.1457	43	hpclab_pi_algA    	0.4000	25	-0.2543
MPII_HYBRID_PW    	0.1457	43	UWaterlooATEK     	0.3120	3	-0.1663
MPII_HYBRID_PW    	0.1457	43	UWaterlooATNDEK   	0.3120	4	-0.1663
MPII_HYBRID_PW    	0.1457	43	udelRun2A         	0.0000	32	0.1457
MPII_HYBRID_PW    	0.1457	43	udelRun1A         	0.0500	51	0.0957
MPII_HYBRID_PW    	0.1457	43	umd_hcil_run01    	0.4000	0	-0.2543
MPII_HYBRID_PW    	0.1457	43	prnaTaskA3        	0.5000	1	-0.3543
MPII_HYBRID_PW    	0.1457	43	prnaTaskA2        	0.5000	1	-0.3543
MPII_HYBRID_PW    	0.1457	43	prnaTaskA1        	0.5000	4	-0.3543
MPII_HYBRID_PW    	0.1457	43	SNACSA            	0.7667	15	-0.6210
MPII_HYBRID_PW    	0.1457	43	PKUICSTRunA3      	0.4167	65	-0.2710
MPII_HYBRID_PW    	0.1457	43	PKUICSTRunA2      	0.4500	27	-0.3043
MPII_HYBRID_PW    	0.1457	43	PKUICSTRunA1      	0.3167	51	-0.1710
MPII_HYBRID_PW    	0.1457	43	SNACS_LA          	0.5000	2	-0.3543
MPII_HYBRID_PW    	0.1457	43	UWaterlooATDK     	0.3500	2	-0.2043
MPII_HYBRID_PW    	0.1457	43	QUDynExp          	0.1000	19	0.0457
MPII_HYBRID_PW    	0.1457	43	QUDyn             	0.1000	20	0.0457
MPII_HYBRID_PW    	0.1457	43	UWCMBP1           	0.0500	34	0.0957
MPII_HYBRID_PW    	0.1457	43	UWCMBP2           	0.0500	62	0.0957
MPII_HYBRID_PW    	0.1457	43	QUBaseline        	0.4000	3	-0.2543
MPII_HYBRID_PW    	0.1457	43	umd_hcil_run02    	0.4000	1	-0.2543
MPII_HYBRID_PW    	0.1457	43	MPII_LUC_SORT     	0.1623	86	-0.0166
MPII_HYBRID_PW    	0.1457	43	udelRun3A         	0.0000	35	0.1457
umd_hcil_run01    	0.4000	0	umd_hcil_run02    	0.4000	1	0.0000
ECNURUNA1         	0.3000	20	hpclab_pi_algA    	0.4000	25	-0.1000
ECNURUNA1         	0.3000	20	UWaterlooATEK     	0.3120	3	-0.0120
ECNURUNA1         	0.3000	20	UWaterlooATNDEK   	0.3120	4	-0.0120
ECNURUNA1         	0.3000	20	udelRun2A         	0.0000	32	0.3000
ECNURUNA1         	0.3000	20	udelRun1A         	0.0500	51	0.2500
ECNURUNA1         	0.3000	20	MPII_HYBRID_PW    	0.1457	43	0.1543
ECNURUNA1         	0.3000	20	umd_hcil_run01    	0.4000	0	-0.1000
ECNURUNA1         	0.3000	20	ECNURUNA2         	0.3000	20	0.0000
ECNURUNA1         	0.3000	20	ECNURUNA3         	0.3000	18	0.0000
ECNURUNA1         	0.3000	20	prnaTaskA3        	0.5000	1	-0.2000
ECNURUNA1         	0.3000	20	prnaTaskA2        	0.5000	1	-0.2000
ECNURUNA1         	0.3000	20	prnaTaskA1        	0.5000	4	-0.2000
ECNURUNA1         	0.3000	20	SNACSA            	0.7667	15	-0.4667
ECNURUNA1         	0.3000	20	PKUICSTRunA3      	0.4167	65	-0.1167
ECNURUNA1         	0.3000	20	PKUICSTRunA2      	0.4500	27	-0.1500
ECNURUNA1         	0.3000	20	PKUICSTRunA1      	0.3167	51	-0.0167
ECNURUNA1         	0.3000	20	MPII_COMB_SORT    	0.1457	94	0.1543
ECNURUNA1         	0.3000	20	SNACS_LA          	0.5000	2	-0.2000
ECNURUNA1         	0.3000	20	UWaterlooATDK     	0.3500	2	-0.0500
ECNURUNA1         	0.3000	20	QUDynExp          	0.1000	19	0.2000
ECNURUNA1         	0.3000	20	IRIT-KLTFIDF      	0.3000	10	0.0000
ECNURUNA1         	0.3000	20	IritSigSDA        	0.4000	1	-0.1000
ECNURUNA1         	0.3000	20	IRIT-RTNotif.33   	0.2455	8	0.0545
ECNURUNA1         	0.3000	20	QUDyn             	0.1000	20	0.2000
ECNURUNA1         	0.3000	20	UWCMBP1           	0.0500	34	0.2500
ECNURUNA1         	0.3000	20	UWCMBP2           	0.0500	62	0.2500
ECNURUNA1         	0.3000	20	QUBaseline        	0.4000	3	-0.1000
ECNURUNA1         	0.3000	20	umd_hcil_run02    	0.4000	1	-0.1000
ECNURUNA1         	0.3000	20	MPII_LUC_SORT     	0.1623	86	0.1377
ECNURUNA1         	0.3000	20	udelRun3A         	0.0000	35	0.3000
ECNURUNA2         	0.3000	20	hpclab_pi_algA    	0.4000	25	-0.1000
ECNURUNA2         	0.3000	20	UWaterlooATEK     	0.3120	3	-0.0120
ECNURUNA2         	0.3000	20	UWaterlooATNDEK   	0.3120	4	-0.0120
ECNURUNA2         	0.3000	20	udelRun2A         	0.0000	32	0.3000
ECNURUNA2         	0.3000	20	udelRun1A         	0.0500	51	0.2500
ECNURUNA2         	0.3000	20	MPII_HYBRID_PW    	0.1457	43	0.1543
ECNURUNA2         	0.3000	20	umd_hcil_run01    	0.4000	0	-0.1000
ECNURUNA2         	0.3000	20	ECNURUNA3         	0.3000	18	0.0000
ECNURUNA2         	0.3000	20	prnaTaskA3        	0.5000	1	-0.2000
ECNURUNA2         	0.3000	20	prnaTaskA2        	0.5000	1	-0.2000
ECNURUNA2         	0.3000	20	prnaTaskA1        	0.5000	4	-0.2000
ECNURUNA2         	0.3000	20	SNACSA            	0.7667	15	-0.4667
ECNURUNA2         	0.3000	20	PKUICSTRunA3      	0.4167	65	-0.1167
ECNURUNA2         	0.3000	20	PKUICSTRunA2      	0.4500	27	-0.1500
ECNURUNA2         	0.3000	20	PKUICSTRunA1      	0.3167	51	-0.0167
ECNURUNA2         	0.3000	20	MPII_COMB_SORT    	0.1457	94	0.1543
ECNURUNA2         	0.3000	20	SNACS_LA          	0.5000	2	-0.2000
ECNURUNA2         	0.3000	20	UWaterlooATDK     	0.3500	2	-0.0500
ECNURUNA2         	0.3000	20	QUDynExp          	0.1000	19	0.2000
ECNURUNA2         	0.3000	20	IRIT-KLTFIDF      	0.3000	10	0.0000
ECNURUNA2         	0.3000	20	IritSigSDA        	0.4000	1	-0.1000
ECNURUNA2         	0.3000	20	IRIT-RTNotif.33   	0.2455	8	0.0545
ECNURUNA2         	0.3000	20	QUDyn             	0.1000	20	0.2000
ECNURUNA2         	0.3000	20	UWCMBP1           	0.0500	34	0.2500
ECNURUNA2         	0.3000	20	UWCMBP2           	0.0500	62	0.2500
ECNURUNA2         	0.3000	20	QUBaseline        	0.4000	3	-0.1000
ECNURUNA2         	0.3000	20	umd_hcil_run02    	0.4000	1	-0.1000
ECNURUNA2         	0.3000	20	MPII_LUC_SORT     	0.1623	86	0.1377
ECNURUNA2         	0.3000	20	udelRun3A         	0.0000	35	0.3000
ECNURUNA3         	0.3000	18	hpclab_pi_algA    	0.4000	25	-0.1000
ECNURUNA3         	0.3000	18	UWaterlooATEK     	0.3120	3	-0.0120
ECNURUNA3         	0.3000	18	UWaterlooATNDEK   	0.3120	4	-0.0120
ECNURUNA3         	0.3000	18	udelRun2A         	0.0000	32	0.3000
ECNURUNA3         	0.3000	18	udelRun1A         	0.0500	51	0.2500
ECNURUNA3         	0.3000	18	MPII_HYBRID_PW    	0.1457	43	0.1543
ECNURUNA3         	0.3000	18	umd_hcil_run01    	0.4000	0	-0.1000
ECNURUNA3         	0.3000	18	prnaTaskA3        	0.5000	1	-0.2000
ECNURUNA3         	0.3000	18	prnaTaskA2        	0.5000	1	-0.2000
ECNURUNA3         	0.3000	18	prnaTaskA1        	0.5000	4	-0.2000
ECNURUNA3         	0.3000	18	SNACSA            	0.7667	15	-0.4667
ECNURUNA3         	0.3000	18	PKUICSTRunA3      	0.4167	65	-0.1167
