hpclab_pi_algA    	0.2000	2	udelRun2A         	0.2000	0	0.0000
hpclab_pi_algA    	0.2000	2	udelRun1A         	0.2000	0	0.0000
hpclab_pi_algA    	0.2000	2	umd_hcil_run01    	0.2000	0	0.0000
hpclab_pi_algA    	0.2000	2	prnaTaskA3        	0.2000	0	0.0000
hpclab_pi_algA    	0.2000	2	prnaTaskA2        	0.2000	0	0.0000
hpclab_pi_algA    	0.2000	2	prnaTaskA1        	0.2000	0	0.0000
hpclab_pi_algA    	0.2000	2	umd_hcil_run02    	0.2000	5	0.0000
hpclab_pi_algA    	0.2000	2	udelRun3A         	0.3000	100	-0.1000
UWaterlooATEK     	0.0180	11	hpclab_pi_algA    	0.2000	2	-0.1820
UWaterlooATEK     	0.0180	11	UWaterlooATNDEK   	0.0180	11	0.0000
UWaterlooATEK     	0.0180	11	udelRun2A         	0.2000	0	-0.1820
UWaterlooATEK     	0.0180	11	udelRun1A         	0.2000	0	-0.1820
UWaterlooATEK     	0.0180	11	umd_hcil_run01    	0.2000	0	-0.1820
UWaterlooATEK     	0.0180	11	prnaTaskA3        	0.2000	0	-0.1820
UWaterlooATEK     	0.0180	11	prnaTaskA2        	0.2000	0	-0.1820
UWaterlooATEK     	0.0180	11	prnaTaskA1        	0.2000	0	-0.1820
UWaterlooATEK     	0.0180	11	umd_hcil_run02    	0.2000	5	-0.1820
UWaterlooATEK     	0.0180	11	udelRun3A         	0.3000	100	-0.2820
UWaterlooATNDEK   	0.0180	11	hpclab_pi_algA    	0.2000	2	-0.1820
UWaterlooATNDEK   	0.0180	11	udelRun2A         	0.2000	0	-0.1820
UWaterlooATNDEK   	0.0180	11	udelRun1A         	0.2000	0	-0.1820
UWaterlooATNDEK   	0.0180	11	umd_hcil_run01    	0.2000	0	-0.1820
UWaterlooATNDEK   	0.0180	11	prnaTaskA3        	0.2000	0	-0.1820
UWaterlooATNDEK   	0.0180	11	prnaTaskA2        	0.2000	0	-0.1820
UWaterlooATNDEK   	0.0180	11	prnaTaskA1        	0.2000	0	-0.1820
UWaterlooATNDEK   	0.0180	11	umd_hcil_run02    	0.2000	5	-0.1820
UWaterlooATNDEK   	0.0180	11	udelRun3A         	0.3000	100	-0.2820
udelRun2A         	0.2000	0	umd_hcil_run01    	0.2000	0	0.0000
udelRun2A         	0.2000	0	umd_hcil_run02    	0.2000	5	0.0000
udelRun2A         	0.2000	0	udelRun3A         	0.3000	100	-0.1000
udelRun1A         	0.2000	0	udelRun2A         	0.2000	0	0.0000
udelRun1A         	0.2000	0	umd_hcil_run01    	0.2000	0	0.0000
udelRun1A         	0.2000	0	umd_hcil_run02    	0.2000	5	0.0000
udelRun1A         	0.2000	0	udelRun3A         	0.3000	100	-0.1000
MPII_HYBRID_PW    	0.0212	28	hpclab_pi_algA    	0.2000	2	-0.1788
MPII_HYBRID_PW    	0.0212	28	UWaterlooATEK     	0.0180	11	0.0032
MPII_HYBRID_PW    	0.0212	28	UWaterlooATNDEK   	0.0180	11	0.0032
MPII_HYBRID_PW    	0.0212	28	udelRun2A         	0.2000	0	-0.1788
MPII_HYBRID_PW    	0.0212	28	udelRun1A         	0.2000	0	-0.1788
MPII_HYBRID_PW    	0.0212	28	umd_hcil_run01    	0.2000	0	-0.1788
MPII_HYBRID_PW    	0.0212	28	prnaTaskA3        	0.2000	0	-0.1788
MPII_HYBRID_PW    	0.0212	28	prnaTaskA2        	0.2000	0	-0.1788
MPII_HYBRID_PW    	0.0212	28	prnaTaskA1        	0.2000	0	-0.1788
MPII_HYBRID_PW    	0.0212	28	SNACSA            	0.2000	0	-0.1788
MPII_HYBRID_PW    	0.0212	28	PKUICSTRunA3      	0.0750	62	-0.0538
MPII_HYBRID_PW    	0.0212	28	PKUICSTRunA2      	0.2250	6	-0.2038
MPII_HYBRID_PW    	0.0212	28	PKUICSTRunA1      	0.0750	48	-0.0538
MPII_HYBRID_PW    	0.0212	28	SNACS_LA          	0.2000	0	-0.1788
MPII_HYBRID_PW    	0.0212	28	UWaterlooATDK     	0.0250	10	-0.0038
MPII_HYBRID_PW    	0.0212	28	QUDynExp          	0.0500	20	-0.0288
MPII_HYBRID_PW    	0.0212	28	QUDyn             	0.0500	31	-0.0288
MPII_HYBRID_PW    	0.0212	28	UWCMBP1           	0.0250	14	-0.0038
MPII_HYBRID_PW    	0.0212	28	UWCMBP2           	0.0250	69	-0.0038
MPII_HYBRID_PW    	0.0212	28	QUBaseline        	0.2000	2	-0.1788
MPII_HYBRID_PW    	0.0212	28	umd_hcil_run02    	0.2000	5	-0.1788
MPII_HYBRID_PW    	0.0212	28	MPII_LUC_SORT     	0.0450	85	-0.0238
MPII_HYBRID_PW    	0.0212	28	udelRun3A         	0.3000	100	-0.2788
umd_hcil_run01    	0.2000	0	umd_hcil_run02    	0.2000	5	0.0000
ECNURUNA1         	0.2000	75	hpclab_pi_algA    	0.2000	2	0.0000
ECNURUNA1         	0.2000	75	UWaterlooATEK     	0.0180	11	0.1820
ECNURUNA1         	0.2000	75	UWaterlooATNDEK   	0.0180	11	0.1820
