hpclab_pi_algA    	0.0000	40	udelRun2A         	0.1207	28	-0.1207
hpclab_pi_algA    	0.0000	40	udelRun1A         	0.1866	52	-0.1866
hpclab_pi_algA    	0.0000	40	umd_hcil_run01    	0.0000	0	0.0000
hpclab_pi_algA    	0.0000	40	prnaTaskA3        	0.1816	38	-0.1816
hpclab_pi_algA    	0.0000	40	prnaTaskA2        	0.1668	45	-0.1668
hpclab_pi_algA    	0.0000	40	prnaTaskA1        	0.2207	60	-0.2207
hpclab_pi_algA    	0.0000	40	umd_hcil_run02    	0.0000	1	0.0000
hpclab_pi_algA    	0.0000	40	udelRun3A         	0.3083	84	-0.3083
UWaterlooATEK     	0.0745	26	hpclab_pi_algA    	0.0000	40	0.0745
UWaterlooATEK     	0.0745	26	UWaterlooATNDEK   	0.0745	26	0.0000
UWaterlooATEK     	0.0745	26	udelRun2A         	0.1207	28	-0.0462
UWaterlooATEK     	0.0745	26	udelRun1A         	0.1866	52	-0.1121
UWaterlooATEK     	0.0745	26	umd_hcil_run01    	0.0000	0	0.0745
UWaterlooATEK     	0.0745	26	prnaTaskA3        	0.1816	38	-0.1071
UWaterlooATEK     	0.0745	26	prnaTaskA2        	0.1668	45	-0.0923
UWaterlooATEK     	0.0745	26	prnaTaskA1        	0.2207	60	-0.1462
UWaterlooATEK     	0.0745	26	umd_hcil_run02    	0.0000	1	0.0745
UWaterlooATEK     	0.0745	26	udelRun3A         	0.3083	84	-0.2338
UWaterlooATNDEK   	0.0745	26	hpclab_pi_algA    	0.0000	40	0.0745
UWaterlooATNDEK   	0.0745	26	udelRun2A         	0.1207	28	-0.0462
UWaterlooATNDEK   	0.0745	26	udelRun1A         	0.1866	52	-0.1121
UWaterlooATNDEK   	0.0745	26	umd_hcil_run01    	0.0000	0	0.0745
UWaterlooATNDEK   	0.0745	26	prnaTaskA3        	0.1816	38	-0.1071
UWaterlooATNDEK   	0.0745	26	prnaTaskA2        	0.1668	45	-0.0923
UWaterlooATNDEK   	0.0745	26	prnaTaskA1        	0.2207	60	-0.1462
UWaterlooATNDEK   	0.0745	26	umd_hcil_run02    	0.0000	1	0.0745
UWaterlooATNDEK   	0.0745	26	udelRun3A         	0.3083	84	-0.2338
udelRun2A         	0.1207	28	umd_hcil_run01    	0.0000	0	0.1207
