hpclab_pi_algA    	0.0000	0	udelRun2A         	0.1436	7	-0.1436
hpclab_pi_algA    	0.0000	0	udelRun1A         	0.1721	13	-0.1721
hpclab_pi_algA    	0.0000	0	umd_hcil_run01    	0.0000	0	0.0000
hpclab_pi_algA    	0.0000	0	prnaTaskA3        	0.0286	1	-0.0286
hpclab_pi_algA    	0.0000	0	prnaTaskA2        	0.0286	1	-0.0286
hpclab_pi_algA    	0.0000	0	prnaTaskA1        	0.0286	1	-0.0286
hpclab_pi_algA    	0.0000	0	umd_hcil_run02    	0.0000	0	0.0000
hpclab_pi_algA    	0.0000	0	udelRun3A         	0.1921	17	-0.1921
UWaterlooATEK     	0.1127	19	hpclab_pi_algA    	0.0000	0	0.1127
UWaterlooATEK     	0.1127	19	UWaterlooATNDEK   	0.1127	19	0.0000
UWaterlooATEK     	0.1127	19	udelRun2A         	0.1436	7	-0.0309
UWaterlooATEK     	0.1127	19	udelRun1A         	0.1721	13	-0.0594
UWaterlooATEK     	0.1127	19	umd_hcil_run01    	0.0000	0	0.1127
UWaterlooATEK     	0.1127	19	prnaTaskA3        	0.0286	1	0.0841
UWaterlooATEK     	0.1127	19	prnaTaskA2        	0.0286	1	0.0841
UWaterlooATEK     	0.1127	19	prnaTaskA1        	0.0286	1	0.0841
UWaterlooATEK     	0.1127	19	umd_hcil_run02    	0.0000	0	0.1127
UWaterlooATEK     	0.1127	19	udelRun3A         	0.1921	17	-0.0794
UWaterlooATNDEK   	0.1127	19	hpclab_pi_algA    	0.0000	0	0.1127
UWaterlooATNDEK   	0.1127	19	udelRun2A         	0.1436	7	-0.0309
UWaterlooATNDEK   	0.1127	19	udelRun1A         	0.1721	13	-0.0594
UWaterlooATNDEK   	0.1127	19	umd_hcil_run01    	0.0000	0	0.1127
UWaterlooATNDEK   	0.1127	19	prnaTaskA3        	0.0286	1	0.0841
UWaterlooATNDEK   	0.1127	19	prnaTaskA2        	0.0286	1	0.0841
UWaterlooATNDEK   	0.1127	19	prnaTaskA1        	0.0286	1	0.0841
UWaterlooATNDEK   	0.1127	19	umd_hcil_run02    	0.0000	0	0.1127
UWaterlooATNDEK   	0.1127	19	udelRun3A         	0.1921	17	-0.0794
udelRun2A         	0.1436	7	umd_hcil_run01    	0.0000	0	0.1436
udelRun2A         	0.1436	7	umd_hcil_run02    	0.0000	0	0.1436
udelRun2A         	0.1436	7	udelRun3A         	0.1921	17	-0.0485
udelRun1A         	0.1721	13	udelRun2A         	0.1436	7	0.0285
udelRun1A         	0.1721	13	umd_hcil_run01    	0.0000	0	0.1721
udelRun1A         	0.1721	13	umd_hcil_run02    	0.0000	0	0.1721
udelRun1A         	0.1721	13	udelRun3A         	0.1921	17	-0.0200
MPII_HYBRID_PW    	0.0305	23	hpclab_pi_algA    	0.0000	0	0.0305
MPII_HYBRID_PW    	0.0305	23	UWaterlooATEK     	0.1127	19	-0.0822
MPII_HYBRID_PW    	0.0305	23	UWaterlooATNDEK   	0.1127	19	-0.0822
MPII_HYBRID_PW    	0.0305	23	udelRun2A         	0.1436	7	-0.1131
MPII_HYBRID_PW    	0.0305	23	udelRun1A         	0.1721	13	-0.1416
MPII_HYBRID_PW    	0.0305	23	umd_hcil_run01    	0.0000	0	0.0305
MPII_HYBRID_PW    	0.0305	23	prnaTaskA3        	0.0286	1	0.0019
MPII_HYBRID_PW    	0.0305	23	prnaTaskA2        	0.0286	1	0.0019
MPII_HYBRID_PW    	0.0305	23	prnaTaskA1        	0.0286	1	0.0019
MPII_HYBRID_PW    	0.0305	23	SNACSA            	0.3093	24	-0.2788
MPII_HYBRID_PW    	0.0305	23	PKUICSTRunA3      	0.0879	86	-0.0574
MPII_HYBRID_PW    	0.0305	23	PKUICSTRunA2      	0.1764	13	-0.1459
MPII_HYBRID_PW    	0.0305	23	PKUICSTRunA1      	0.0879	86	-0.0574
MPII_HYBRID_PW    	0.0305	23	SNACS_LA          	0.0000	0	0.0305
MPII_HYBRID_PW    	0.0305	23	UWaterlooATDK     	0.2351	20	-0.2046
MPII_HYBRID_PW    	0.0305	23	QUDynExp          	0.3106	39	-0.2801
MPII_HYBRID_PW    	0.0305	23	QUDyn             	0.3392	37	-0.3087
MPII_HYBRID_PW    	0.0305	23	UWCMBP1           	0.0250	2	0.0055
MPII_HYBRID_PW    	0.0305	23	UWCMBP2           	0.0000	0	0.0305
MPII_HYBRID_PW    	0.0305	23	QUBaseline        	0.2221	21	-0.1916
MPII_HYBRID_PW    	0.0305	23	umd_hcil_run02    	0.0000	0	0.0305
MPII_HYBRID_PW    	0.0305	23	MPII_LUC_SORT     	0.1916	84	-0.1611
MPII_HYBRID_PW    	0.0305	23	udelRun3A         	0.1921	17	-0.1616
umd_hcil_run01    	0.0000	0	umd_hcil_run02    	0.0000	0	0.0000
ECNURUNA1         	0.0000	42	hpclab_pi_algA    	0.0000	0	0.0000
ECNURUNA1         	0.0000	42	UWaterlooATEK     	0.1127	19	-0.1127
ECNURUNA1         	0.0000	42	UWaterlooATNDEK   	0.1127	19	-0.1127
ECNURUNA1         	0.0000	42	udelRun2A         	0.1436	7	-0.1436
ECNURUNA1         	0.0000	42	udelRun1A         	0.1721	13	-0.1721
ECNURUNA1         	0.0000	42	MPII_HYBRID_PW    	0.0305	23	-0.0305
ECNURUNA1         	0.0000	42	umd_hcil_run01    	0.0000	0	0.0000
ECNURUNA1         	0.0000	42	ECNURUNA2         	0.0000	42	0.0000
ECNURUNA1         	0.0000	42	ECNURUNA3         	0.0000	37	0.0000
ECNURUNA1         	0.0000	42	prnaTaskA3        	0.0286	1	-0.0286
ECNURUNA1         	0.0000	42	prnaTaskA2        	0.0286	1	-0.0286
ECNURUNA1         	0.0000	42	prnaTaskA1        	0.0286	1	-0.0286
ECNURUNA1         	0.0000	42	SNACSA            	0.3093	24	-0.3093
ECNURUNA1         	0.0000	42	PKUICSTRunA3      	0.0879	86	-0.0879
ECNURUNA1         	0.0000	42	PKUICSTRunA2      	0.1764	13	-0.1764
ECNURUNA1         	0.0000	42	PKUICSTRunA1      	0.0879	86	-0.0879
ECNURUNA1         	0.0000	42	MPII_COMB_SORT    	0.0663	100	-0.0663
ECNURUNA1         	0.0000	42	SNACS_LA          	0.0000	0	0.0000
ECNURUNA1         	0.0000	42	UWaterlooATDK     	0.2351	20	-0.2351
ECNURUNA1         	0.0000	42	QUDynExp          	0.3106	39	-0.3106
ECNURUNA1         	0.0000	42	IRIT-KLTFIDF      	0.0286	1	-0.0286
ECNURUNA1         	0.0000	42	IritSigSDA        	0.0000	23	0.0000
ECNURUNA1         	0.0000	42	IRIT-RTNotif.33   	0.0000	18	0.0000
ECNURUNA1         	0.0000	42	QUDyn             	0.3392	37	-0.3392
ECNURUNA1         	0.0000	42	UWCMBP1           	0.0250	2	-0.0250
ECNURUNA1         	0.0000	42	UWCMBP2           	0.0000	0	0.0000
ECNURUNA1         	0.0000	42	QUBaseline        	0.2221	21	-0.2221
ECNURUNA1         	0.0000	42	umd_hcil_run02    	0.0000	0	0.0000
ECNURUNA1         	0.0000	42	MPII_LUC_SORT     	0.1916	84	-0.1916
ECNURUNA1         	0.0000	42	udelRun3A         	0.1921	17	-0.1921
ECNURUNA2         	0.0000	42	hpclab_pi_algA    	0.0000	0	0.0000
ECNURUNA2         	0.0000	42	UWaterlooATEK     	0.1127	19	-0.1127
ECNURUNA2         	0.0000	42	UWaterlooATNDEK   	0.1127	19	-0.1127
ECNURUNA2         	0.0000	42	udelRun2A         	0.1436	7	-0.1436
ECNURUNA2         	0.0000	42	udelRun1A         	0.1721	13	-0.1721
ECNURUNA2         	0.0000	42	MPII_HYBRID_PW    	0.0305	23	-0.0305
ECNURUNA2         	0.0000	42	umd_hcil_run01    	0.0000	0	0.0000
ECNURUNA2         	0.0000	42	ECNURUNA3         	0.0000	37	0.0000
ECNURUNA2         	0.0000	42	prnaTaskA3        	0.0286	1	-0.0286
ECNURUNA2         	0.0000	42	prnaTaskA2        	0.0286	1	-0.0286
ECNURUNA2         	0.0000	42	prnaTaskA1        	0.0286	1	-0.0286
ECNURUNA2         	0.0000	42	SNACSA            	0.3093	24	-0.3093
ECNURUNA2         	0.0000	42	PKUICSTRunA3      	0.0879	86	-0.0879
ECNURUNA2         	0.0000	42	PKUICSTRunA2      	0.1764	13	-0.1764
ECNURUNA2         	0.0000	42	PKUICSTRunA1      	0.0879	86	-0.0879
ECNURUNA2         	0.0000	42	MPII_COMB_SORT    	0.0663	100	-0.0663
ECNURUNA2         	0.0000	42	SNACS_LA          	0.0000	0	0.0000
ECNURUNA2         	0.0000	42	UWaterlooATDK     	0.2351	20	-0.2351
ECNURUNA2         	0.0000	42	QUDynExp          	0.3106	39	-0.3106
ECNURUNA2         	0.0000	42	IRIT-KLTFIDF      	0.0286	1	-0.0286
ECNURUNA2         	0.0000	42	IritSigSDA        	0.0000	23	0.0000
ECNURUNA2         	0.0000	42	IRIT-RTNotif.33   	0.0000	18	0.0000
ECNURUNA2         	0.0000	42	QUDyn             	0.3392	37	-0.3392
ECNURUNA2         	0.0000	42	UWCMBP1           	0.0250	2	-0.0250
ECNURUNA2         	0.0000	42	UWCMBP2           	0.0000	0	0.0000
ECNURUNA2         	0.0000	42	QUBaseline        	0.2221	21	-0.2221
ECNURUNA2         	0.0000	42	umd_hcil_run02    	0.0000	0	0.0000
ECNURUNA2         	0.0000	42	MPII_LUC_SORT     	0.1916	84	-0.1916
ECNURUNA2         	0.0000	42	udelRun3A         	0.1921	17	-0.1921
ECNURUNA3         	0.0000	37	hpclab_pi_algA    	0.0000	0	0.0000
ECNURUNA3         	0.0000	37	UWaterlooATEK     	0.1127	19	-0.1127
ECNURUNA3         	0.0000	37	UWaterlooATNDEK   	0.1127	19	-0.1127
ECNURUNA3         	0.0000	37	udelRun2A         	0.1436	7	-0.1436
ECNURUNA3         	0.0000	37	udelRun1A         	0.1721	13	-0.1721
ECNURUNA3         	0.0000	37	MPII_HYBRID_PW    	0.0305	23	-0.0305
ECNURUNA3         	0.0000	37	umd_hcil_run01    	0.0000	0	0.0000
ECNURUNA3         	0.0000	37	prnaTaskA3        	0.0286	1	-0.0286
ECNURUNA3         	0.0000	37	prnaTaskA2        	0.0286	1	-0.0286
ECNURUNA3         	0.0000	37	prnaTaskA1        	0.0286	1	-0.0286
ECNURUNA3         	0.0000	37	SNACSA            	0.3093	24	-0.3093
ECNURUNA3         	0.0000	37	PKUICSTRunA3      	0.0879	86	-0.0879
ECNURUNA3         	0.0000	37	PKUICSTRunA2      	0.1764	13	-0.1764
ECNURUNA3         	0.0000	37	PKUICSTRunA1      	0.0879	86	-0.0879
ECNURUNA3         	0.0000	37	MPII_COMB_SORT    	0.0663	100	-0.0663
ECNURUNA3         	0.0000	37	SNACS_LA          	0.0000	0	0.0000
ECNURUNA3         	0.0000	37	UWaterlooATDK     	0.2351	20	-0.2351
ECNURUNA3         	0.0000	37	QUDynExp          	0.3106	39	-0.3106
ECNURUNA3         	0.0000	37	IRIT-KLTFIDF      	0.0286	1	-0.0286
ECNURUNA3         	0.0000	37	IritSigSDA        	0.0000	23	0.0000
ECNURUNA3         	0.0000	37	IRIT-RTNotif.33   	0.0000	18	0.0000
ECNURUNA3         	0.0000	37	QUDyn             	0.3392	37	-0.3392
ECNURUNA3         	0.0000	37	UWCMBP1           	0.0250	2	-0.0250
ECNURUNA3         	0.0000	37	UWCMBP2           	0.0000	0	0.0000
ECNURUNA3         	0.0000	37	QUBaseline        	0.2221	21	-0.2221
ECNURUNA3         	0.0000	37	umd_hcil_run02    	0.0000	0	0.0000
ECNURUNA3         	0.0000	37	MPII_LUC_SORT     	0.1916	84	-0.1916
ECNURUNA3         	0.0000	37	udelRun3A         	0.1921	17	-0.1921
prnaTaskA3        	0.0286	1	udelRun2A         	0.1436	7	-0.1150
prnaTaskA3        	0.0286	1	udelRun1A         	0.1721	13	-0.1435
prnaTaskA3        	0.0286	1	umd_hcil_run01    	0.0000	0	0.0286
prnaTaskA3        	0.0286	1	umd_hcil_run02    	0.0000	0	0.0286
prnaTaskA3        	0.0286	1	udelRun3A         	0.1921	17	-0.1635
prnaTaskA2        	0.0286	1	udelRun2A         	0.1436	7	-0.1150
prnaTaskA2        	0.0286	1	udelRun1A         	0.1721	13	-0.1435
prnaTaskA2        	0.0286	1	umd_hcil_run01    	0.0000	0	0.0286
prnaTaskA2        	0.0286	1	prnaTaskA3        	0.0286	1	0.0000
prnaTaskA2        	0.0286	1	umd_hcil_run02    	0.0000	0	0.0286
prnaTaskA2        	0.0286	1	udelRun3A         	0.1921	17	-0.1635
prnaTaskA1        	0.0286	1	udelRun2A         	0.1436	7	-0.1150
prnaTaskA1        	0.0286	1	udelRun1A         	0.1721	13	-0.1435
prnaTaskA1        	0.0286	1	umd_hcil_run01    	0.0000	0	0.0286
prnaTaskA1        	0.0286	1	prnaTaskA3        	0.0286	1	0.0000
prnaTaskA1        	0.0286	1	prnaTaskA2        	0.0286	1	0.0000
prnaTaskA1        	0.0286	1	umd_hcil_run02    	0.0000	0	0.0286
prnaTaskA1        	0.0286	1	udelRun3A         	0.1921	17	-0.1635
SNACSA            	0.3093	24	hpclab_pi_algA    	0.0000	0	0.3093
SNACSA            	0.3093	24	UWaterlooATEK     	0.1127	19	0.1966
SNACSA            	0.3093	24	UWaterlooATNDEK   	0.1127	19	0.1966
SNACSA            	0.3093	24	udelRun2A         	0.1436	7	0.1657
SNACSA            	0.3093	24	udelRun1A         	0.1721	13	0.1372
SNACSA            	0.3093	24	umd_hcil_run01    	0.0000	0	0.3093
SNACSA            	0.3093	24	prnaTaskA3        	0.0286	1	0.2807
SNACSA            	0.3093	24	prnaTaskA2        	0.0286	1	0.2807
SNACSA            	0.3093	24	prnaTaskA1        	0.0286	1	0.2807
SNACSA            	0.3093	24	SNACS_LA          	0.0000	0	0.3093
