hpclab_pi_algA    	0.8000	0	udelRun2A         	0.4000	5	0.4000
hpclab_pi_algA    	0.8000	0	udelRun1A         	0.2000	11	0.6000
hpclab_pi_algA    	0.8000	0	umd_hcil_run01    	0.8000	0	0.0000
hpclab_pi_algA    	0.8000	0	prnaTaskA3        	0.3500	12	0.4500
hpclab_pi_algA    	0.8000	0	prnaTaskA2        	0.2500	20	0.5500
hpclab_pi_algA    	0.8000	0	prnaTaskA1        	0.2500	25	0.5500
hpclab_pi_algA    	0.8000	0	umd_hcil_run02    	0.7000	3	0.1000
hpclab_pi_algA    	0.8000	0	udelRun3A         	0.3000	8	0.5000
UWaterlooATEK     	0.3330	15	hpclab_pi_algA    	0.8000	0	-0.4670
UWaterlooATEK     	0.3330	15	UWaterlooATNDEK   	0.3330	17	0.0000
UWaterlooATEK     	0.3330	15	udelRun2A         	0.4000	5	-0.0670
UWaterlooATEK     	0.3330	15	udelRun1A         	0.2000	11	0.1330
UWaterlooATEK     	0.3330	15	umd_hcil_run01    	0.8000	0	-0.4670
UWaterlooATEK     	0.3330	15	prnaTaskA3        	0.3500	12	-0.0170
UWaterlooATEK     	0.3330	15	prnaTaskA2        	0.2500	20	0.0830
UWaterlooATEK     	0.3330	15	prnaTaskA1        	0.2500	25	0.0830
UWaterlooATEK     	0.3330	15	umd_hcil_run02    	0.7000	3	-0.3670
UWaterlooATEK     	0.3330	15	udelRun3A         	0.3000	8	0.0330
UWaterlooATNDEK   	0.3330	17	hpclab_pi_algA    	0.8000	0	-0.4670
UWaterlooATNDEK   	0.3330	17	udelRun2A         	0.4000	5	-0.0670
UWaterlooATNDEK   	0.3330	17	udelRun1A         	0.2000	11	0.1330
UWaterlooATNDEK   	0.3330	17	umd_hcil_run01    	0.8000	0	-0.4670
UWaterlooATNDEK   	0.3330	17	prnaTaskA3        	0.3500	12	-0.0170
UWaterlooATNDEK   	0.3330	17	prnaTaskA2        	0.2500	20	0.0830
UWaterlooATNDEK   	0.3330	17	prnaTaskA1        	0.2500	25	0.0830
UWaterlooATNDEK   	0.3330	17	umd_hcil_run02    	0.7000	3	-0.3670
UWaterlooATNDEK   	0.3330	17	udelRun3A         	0.3000	8	0.0330
udelRun2A         	0.4000	5	umd_hcil_run01    	0.8000	0	-0.4000
udelRun2A         	0.4000	5	umd_hcil_run02    	0.7000	3	-0.3000
